year,title,directors_0,rating,genres_0,genres_1,rank,running_time_secs,actors_0,actors_1,actors_2,directors_1,directors_2
2001,Artificial Intelligence: AI,Steven Spielberg,7,Adventure,Drama,879,8760,Haley Joel Osment,Jude Law,Frances O'Connor,,
2005,Memoirs of a Geisha,Rob Marshall,7.1,Drama,Romance,880,8700,Ziyi Zhang,Ken Watanabe,Michelle Yeoh,,
2000,The Patriot,Roland Emmerich,6.9,Action,Drama,882,9900,Mel Gibson,Heath Ledger,Joely Richardson,,
1984,Die unendliche Geschichte,Wolfgang Petersen,7.3,Adventure,Drama,883,6120,Noah Hathaway,Barret Oliver,Tami Stronach,,
1990,Total Recall,Paul Verhoeven,7.5,Action,Adventure,884,6780,Arnold Schwarzenegger,Sharon Stone,Michael Ironside,,
2011,The Tree of Life,Terrence Malick,6.8,Drama,Fantasy,885,8340,Brad Pitt,Sean Penn,Jessica Chastain,,
1987,Dirty Dancing,Emile Ardolino,6.6,Drama,Music,886,6000,Patrick Swayze,Jennifer Grey,Jerry Orbach,,
1971,Fiddler on the Roof,Norman Jewison,7.8,Drama,Family,887,10860,Topol,Norma Crane,Leonard Frey,,
2003,Peter Pan,P.J. Hogan,6.8,Adventure,Family,888,6780,Jeremy Sumpter,Jason Isaacs,Olivia Williams,,
2004,Blade: Trinity,David S. Goyer,5.8,Action,Adventure,889,6780,Wesley Snipes,Kris Kristofferson,Parker Posey,,
2013,Man of Tai Chi,Keanu Reeves,6.2,Action,,890,6300,Tiger Hu Chen,Keanu Reeves,Karen Mok,,
2011,The Smurfs,Raja Gosnell,5.3,Animation,Adventure,891,6180,Hank Azaria,Katy Perry,Jonathan Winters,,
2006,The Illusionist,Neil Burger,7.6,Drama,Mystery,892,6600,Edward Norton,Jessica Biel,Paul Giamatti,,
1994,The Mask,Chuck Russell,6.7,Comedy,Crime,893,6060,Jim Carrey,Cameron Diaz,Peter Riegert,,
2013,Only Lovers Left Alive,Jim Jarmusch,7,Drama,Horror,894,7380,Tom Hiddleston,Tilda Swinton,Mia Wasikowska,,
2012,The Reluctant Fundamentalist,Mira Nair,6.6,Thriller,,895,7800,Riz Ahmed,Liev Schreiber,Kiefer Sutherland,,
2012,Aftershock,Nicolas Lopez,4.7,Horror,Thriller,896,5340,Eli Roth,Ariel Levy,Nicolas Martinez,,
2011,The Artist,Michel Hazanavicius,8,Comedy,Drama,897,6000,Jean Dujardin,Berenice Bejo,John Goodman,,
2009,Jennifer's Body,Karyn Kusama,5.1,Comedy,Horror,898,6120,Megan Fox,Amanda Seyfried,Adam Brody,,
2001,Training Day,Antoine Fuqua,7.6,Action,Crime,899,7320,Denzel Washington,Ethan Hawke,Scott Glenn,,
2012,Deadfall,Stefan Ruzowitzky,6.2,Crime,Drama,900,5700,Eric Bana,Olivia Wilde,Charlie Hunnam,,
1971,Willy Wonka & the Chocolate Factory,Mel Stuart,7.8,Family,Fantasy,901,6000,Gene Wilder,Jack Albertson,Peter Ostrum,,
2003,Cold Mountain,Anthony Minghella,7.2,Drama,Romance,902,9240,Jude Law,Nicole Kidman,Renee Zellweger,,
2013,Assault on Wall Street,Uwe Boll,6,Action,Drama,903,5940,Dominic Purcell,Erin Karpluk,Edward Furlong,,
1991,The Addams Family,Barry Sonnenfeld,6.7,Comedy,Fantasy,904,5940,Anjelica Huston,Raul Julia,Christopher Lloyd,,
2009,Angels & Demons,Ron Howard,6.6,Mystery,Thriller,905,8280,Tom Hanks,Ewan McGregor,Ayelet Zurer,,
2011,Water for Elephants,Francis Lawrence,6.9,Drama,Romance,907,7200,Robert Pattinson,Reese Witherspoon,Christoph Waltz,,
2011,The Grey,Joe Carnahan,6.8,Action,Adventure,908,7020,Liam Neeson,Dermot Mulroney,Frank Grillo,,
2016,Avatar 2,James Cameron,,Action,Adventure,909,,Zoe Saldana,Sigourney Weaver,Sam Worthington,,
2011,Beastly,Daniel Barnz,5.3,Drama,Fantasy,910,5160,Alex Pettyfer,Vanessa Hudgens,Mary-Kate Olsen,,
2006,Alpha Dog,Nick Cassavetes,6.8,Biography,Crime,911,7320,Emile Hirsch,Justin Timberlake,Anton Yelchin,,
2011,The Good Doctor,Lance Daly,5.4,Drama,Thriller,912,5460,Orlando Bloom,Riley Keough,Taraji P. Henson,,
1992,Unforgiven,Clint Eastwood,8.3,Western,,913,7860,Clint Eastwood,Gene Hackman,Morgan Freeman,,
2010,True Grit,Ethan Coen,7.7,Adventure,Drama,914,6600,Jeff Bridges,Matt Damon,Hailee Steinfeld,Joel Coen,
1978,Halloween,John Carpenter,7.9,Horror,Thriller,915,5460,Donald Pleasence,Jamie Lee Curtis,Tony Moran,,
1999,Varsity Blues,Brian Robbins,6.2,Comedy,Drama,916,6360,James Van Der Beek,Jon Voight,Paul Walker,,
2013,Pawn Shop Chronicles,Wayne Kramer,5.5,Comedy,Crime,917,6720,Paul Walker,Norman Reedus,Elijah Wood,,
1998,Armageddon,Michael Bay,6.4,Action,Adventure,918,9060,Bruce Willis,Billy Bob Thornton,Ben Affleck,,
2009,Hachi: A Dog's Tale,Lasse Hallstrom,8.1,Drama,Family,919,5580,Richard Gere,Joan Allen,Cary-Hiroyuki Tagawa,,
1995,GoldenEye,Martin Campbell,7.1,Action,Crime,921,7800,Pierce Brosnan,Sean Bean,Izabella Scorupco,,
2002,Star Wars: Episode II - Attack of the Clones,George Lucas,6.7,Action,Adventure,922,8520,Hayden Christensen,Natalie Portman,Ewan McGregor,,
2011,What's Your Number?,Mark Mylod,5.8,Comedy,Romance,923,6360,Anna Faris,Chris Evans,Ari Graynor,,
1989,Christmas Vacation,Jeremiah S. Chechik,7.3,Comedy,,924,5820,Chevy Chase,Beverly D'Angelo,Juliette Lewis,,
2008,Hancock,Peter Berg,6.4,Action,Fantasy,925,5520,Will Smith,Charlize Theron,Jason Bateman,,
2011,Killer Elite,Gary McKendry,6.4,Action,Crime,927,6960,Jason Statham,Clive Owen,Robert De Niro,,
2004,Spider-Man 2,Sam Raimi,7.4,Action,Adventure,928,7620,Tobey Maguire,Kirsten Dunst,Alfred Molina,,
2005,Kingdom of Heaven,Ridley Scott,7.1,Action,Adventure,930,8640,Orlando Bloom,Eva Green,Liam Neeson,,
1991,My Girl,Howard Zieff,6.5,Drama,Family,931,6120,Anna Chlumsky,Macaulay Culkin,Dan Aykroyd,,
2005,Jarhead,Sam Mendes,7,Biography,Drama,933,7500,Jake Gyllenhaal,Jamie Foxx,Lucas Black,,
2002,Equilibrium,Kurt Wimmer,7.5,Action,Drama,934,6420,Christian Bale,Sean Bean,Emily Watson,,
2013,Los amantes pasajeros,Pedro Almodovar,5.6,Comedy,,935,5400,Javier Camara,Pepa Charro,Cecilia Roth,,
1999,Notting Hill,Roger Michell,6.9,Comedy,Drama,936,7440,Hugh Grant,Julia Roberts,Richard McCabe,,
2013,Fruitvale Station,Ryan Coogler,7.7,Biography,Drama,937,5100,Michael B. Jordan,Melonie Diaz,Octavia Spencer,,
2003,The Matrix Reloaded,Andy Wachowski,7.1,Action,Sci-Fi,938,8280,Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss,Lana Wachowski,
2008,Role Models,David Wain,6.9,Comedy,,939,5940,Paul Rudd,Seann William Scott,Elizabeth Banks,,
2000,Cast Away,Robert Zemeckis,7.6,Adventure,Drama,940,8580,Tom Hanks,Helen Hunt,Paul Sanchez,,
1980,Airplane!,Jim Abrahams,7.8,Comedy,,941,5280,Robert Hays,Julie Hagerty,Leslie Nielsen,David Zucker,Jerry Zucker
2001,Shrek,Andrew Adamson,7.9,Animation,Adventure,942,5400,Mike Myers,Eddie Murphy,Cameron Diaz,Vicky Jenson,
1988,Rain Man,Barry Levinson,8,Drama,,943,7980,Dustin Hoffman,Tom Cruise,Valeria Golino,,
2012,Arbitrage,Nicholas Jarecki,6.7,Drama,Thriller,944,6420,Richard Gere,Susan Sarandon,Brit Marling,,
1995,Twelve Monkeys,Terry Gilliam,8.1,Mystery,Sci-Fi,945,7740,Bruce Willis,Madeleine Stowe,Brad Pitt,,
2012,Chasing Mavericks,Michael Apted,6.8,Drama,Sport,946,6960,Jonny Weston,Gerard Butler,Elisabeth Shue,Curtis Hanson,
2006,Step Up,Anne Fletcher,6.2,Crime,Drama,947,6240,Channing Tatum,Jenna Dewan-Tatum,Damaine Radcliff,,
2007,Mr. Magorium's Wonder Emporium,Zach Helm,6.1,Comedy,Family,948,5580,Natalie Portman,Dustin Hoffman,Jason Bateman,,
2001,Mulholland Dr.,David Lynch,7.9,Crime,Drama,950,8820,Naomi Watts,Laura Harring,Justin Theroux,,
2013,Rapture-Palooza,Paul Middleditch,5.1,Comedy,Fantasy,951,5100,Anna Kendrick,John Francis Daley,Ken Jeong,,
1968,C'era una volta il West,Sergio Leone,8.7,Adventure,Western,953,10500,Henry Fonda,Charles Bronson,Claudia Cardinale,,
1987,The Untouchables,Brian De Palma,8,Crime,Drama,954,7140,Kevin Costner,Sean Connery,Robert De Niro,,
1958,Vertigo,Alfred Hitchcock,8.5,Mystery,Romance,955,7680,James Stewart,Kim Novak,Barbara Bel Geddes,,
2004,Hauru no ugoku shiro,Hayao Miyazaki,8.1,Animation,Action,956,7140,Chieko Baisho,Takuya Kimura,Tatsuya Gashuin,,
2011,Rise of the Planet of the Apes,Rupert Wyatt,7.6,Action,Drama,957,6300,James Franco,Andy Serkis,Freida Pinto,,
2012,Silent Hill: Revelation 3D,Michael J. Bassett,5,Horror,Mystery,959,5640,Adelaide Clemens,Kit Harington,Sean Bean,,
2004,The Village,M. Night Shyamalan,6.4,Drama,Mystery,960,6480,Sigourney Weaver,William Hurt,Joaquin Phoenix,,
2006,Apocalypto,Mel Gibson,7.7,Action,Adventure,961,8340,Gerardo Taracena,Raoul Trujillo,Dalia Hernandez,,
2006,Click,Frank Coraci,6.4,Comedy,Drama,962,6420,Adam Sandler,Kate Beckinsale,Christopher Walken,,
1964,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Stanley Kubrick,8.5,Comedy,Sci-Fi,963,5700,Peter Sellers,George C. Scott,Sterling Hayden,,
2010,The Way Back,Peter Weir,7.3,Adventure,Drama,964,7980,Jim Sturgess,Ed Harris,Colin Farrell,,
1998,There's Something About Mary,Bobby Farrelly,7.1,Comedy,Romance,965,7140,Ben Stiller,Cameron Diaz,Matt Dillon,Peter Farrelly,
2005,Fantastic Four,Tim Story,5.7,Action,Adventure,966,6360,Ioan Gruffudd,Michael Chiklis,Chris Evans,,
2009,The Joneses,Derrick Borte,6.4,Comedy,Drama,967,5760,Demi Moore,David Duchovny,Amber Heard,,
2012,The Imposter,Bart Layton,7.5,Documentary,Biography,968,5940,Adam O'Brian,Anna Ruben,Cathy Dresbach,,
2010,Remember Me,Allen Coulter,7,Drama,Romance,969,6780,Robert Pattinson,Emilie de Ravin,Caitlyn Rund,,
1978,Superman,Richard Donner,7.3,Action,Adventure,970,8580,Christopher Reeve,Margot Kidder,Gene Hackman,,
2008,Revolutionary Road,Sam Mendes,7.3,Drama,Romance,971,7140,Leonardo DiCaprio,Kate Winslet,Christopher Fitzgerald,,
2001,Jurassic Park III,Joe Johnston,5.8,Action,Adventure,972,5520,Sam Neill,William H. Macy,Tea Leoni,,
2008,Yip Man,Wilson Yip,8,Action,Biography,973,6360,Donnie Yen,Simon Yam,Siu-Wong Fan,,
2009,Gamer,Mark Neveldine,5.7,Action,Sci-Fi,974,5700,Gerard Butler,Michael C. Hall,Ludacris,Brian Taylor,
1986,Platoon,Oliver Stone,8.2,Action,Drama,975,7200,Charlie Sheen,Tom Berenger,Willem Dafoe,,
2012,To Rome with Love,Woody Allen,6.3,Comedy,Romance,976,6720,Woody Allen,Penelope Cruz,Jesse Eisenberg,,
2009,The Twilight Saga: New Moon,Chris Weitz,4.5,Adventure,Drama,977,7800,Kristen Stewart,Robert Pattinson,Taylor Lautner,,
2006,Silent Hill,Christophe Gans,6.5,Horror,Mystery,978,7500,Radha Mitchell,Laurie Holden,Sean Bean,,
2002,The Bourne Identity,Doug Liman,7.9,Action,Mystery,979,7140,Franka Potente,Matt Damon,Chris Cooper,,
2012,The Collection,Marcus Dunstan,6,Action,Horror,980,4920,Josh Stewart,Emma Fitzpatrick,Christopher McDonald,,
2004,Hellboy,Guillermo del Toro,6.8,Action,Adventure,981,7320,Ron Perlman,Doug Jones,Selma Blair,,
2002,Sweet Home Alabama,Andy Tennant,5.9,Comedy,Romance,982,6480,Reese Witherspoon,Patrick Dempsey,Josh Lucas,,
2011,My Week with Marilyn,Simon Curtis,7,Biography,Drama,983,5940,Michelle Williams,Eddie Redmayne,Kenneth Branagh,,
2012,Best Man Down,Ted Koland,6.7,Comedy,Drama,984,,Justin Long,Jess Weixler,Tyler Labine,,
2012,Would You Rather,David Guy Levy,5.8,Horror,Thriller,985,5580,Brittany Snow,June Squibb,Jeffrey Combs,,
2012,The Raven,James McTeigue,6.3,Crime,Mystery,986,6600,John Cusack,Alice Eve,Luke Evans,,
2004,The Aviator,Martin Scorsese,7.5,Biography,Drama,987,10200,Leonardo DiCaprio,Cate Blanchett,Kate Beckinsale,,
2009,The Imaginarium of Doctor Parnassus,Terry Gilliam,6.8,Adventure,Fantasy,988,7380,Christopher Plummer,Lily Cole,Heath Ledger,,
2005,The Longest Yard,Peter Segal,6.2,Comedy,Crime,989,6780,Adam Sandler,Burt Reynolds,Chris Rock,,
2009,Pandorum,Christian Alvart,6.7,Action,Horror,990,6480,Dennis Quaid,Ben Foster,Cam Gigandet,,
2005,Constantine,Francis Lawrence,6.8,Fantasy,Horror,991,7260,Keanu Reeves,Rachel Weisz,Djimon Hounsou,,
2009,2012,Roland Emmerich,5.7,Action,Adventure,992,9480,John Cusack,Thandie Newton,Chiwetel Ejiofor,,
2008,Seven Pounds,Gabriele Muccino,7.5,Drama,,993,7380,Will Smith,Rosario Dawson,Woody Harrelson,,
2009,Man som hatar kvinnor,Niels Arden Oplev,7.8,Crime,Mystery,994,9120,Michael Nyqvist,Noomi Rapace,Ewa Froling,,
2008,Definitely  Maybe,Adam Brooks,7.1,Comedy,Drama,995,6720,Ryan Reynolds,Rachel Weisz,Abigail Breslin,,
2011,Like Crazy,Drake Doremus,6.6,Drama,Romance,996,5400,Felicity Jones,Anton Yelchin,Jennifer Lawrence,,
2007,Death Proof,Quentin Tarantino,7.1,Action,Thriller,997,6780,Kurt Russell,Zoe Bell,Rosario Dawson,,
2004,The Bourne Supremacy,Paul Greengrass,7.7,Action,Crime,998,6480,Matt Damon,Franka Potente,Joan Allen,,
2005,Madagascar,Eric Darnell,6.8,Animation,Adventure,999,5160,Chris Rock,Ben Stiller,David Schwimmer,Tom McGrath,
2012,Beasts of the Southern Wild,Benh Zeitlin,7.3,Drama,Fantasy,1000,5580,Quvenzhane Wallis,Dwight Henry,Levy Easterly,,
2006,Rocky Balboa,Sylvester Stallone,7.2,Drama,Sport,1001,6120,Sylvester Stallone,Antonio Tarver,Milo Ventimiglia,,
2012,Alex Cross,Rob Cohen,4.9,Action,Crime,1002,6060,Tyler Perry,Matthew Fox,Rachel Nichols,,
2014,Transcendence,Wally Pfister,,Action,Drama,1003,,Johnny Depp,Kate Mara,Rebecca Hall,,
2005,The New World,Terrence Malick,6.7,Biography,Drama,1004,8100,Colin Farrell,Q'orianka Kilcher,Christopher Plummer,,
2003,The Last Samurai,Edward Zwick,7.7,Action,Drama,1005,9240,Tom Cruise,Ken Watanabe,Billy Connolly,,
1980,The Elephant Man,David Lynch,8.3,Biography,Drama,1006,7440,Anthony Hopkins,John Hurt,Anne Bancroft,,
2012,People Like Us,Alex Kurtzman,7,Drama,,1007,6840,Chris Pine,Elizabeth Banks,Michelle Pfeiffer,,
1964,Mary Poppins,Robert Stevenson,7.6,Comedy,Family,1008,8340,Julie Andrews,Dick Van Dyke,David Tomlinson,,
2005,King Kong,Peter Jackson,7.3,Action,Adventure,1009,11220,Naomi Watts,Jack Black,Adrien Brody,,
2000,Gone in Sixty Seconds,Dominic Sena,6.3,Action,Crime,1010,7080,Nicolas Cage,Angelina Jolie,Giovanni Ribisi,,
2014,Tomorrowland,Brad Bird,,Mystery,Sci-Fi,1011,,Britt Robertson,George Clooney,Judy Greer,,
2004,Before Sunset,Richard Linklater,8,Drama,Romance,1012,4800,Ethan Hawke,Julie Delpy,Vernon Dobtcheff,,
2004,Friday Night Lights,Peter Berg,7.1,Action,Drama,1013,7080,Billy Bob Thornton,Jay Hernandez,Derek Luke,,
2011,J. Edgar,Clint Eastwood,6.6,Biography,Crime,1014,8220,Leonardo DiCaprio,Armie Hammer,Naomi Watts,,
2008,The Boy in the Striped Pyjamas,Mark Herman,7.7,Drama,History,1015,5640,Asa Butterfield,David Thewlis,Rupert Friend,,
2002,Signs,M. Night Shyamalan,6.7,Drama,Sci-Fi,1017,6360,Mel Gibson,Joaquin Phoenix,Rory Culkin,,
2000,Road Trip,Todd Phillips,6.4,Adventure,Comedy,1018,5580,Breckin Meyer,Seann William Scott,Amy Smart,,
2005,Hitch,Andy Tennant,6.6,Comedy,Romance,1019,7080,Will Smith,Eva Mendes,Kevin James,,
2009,Brothers,Jim Sheridan,7.1,Drama,Thriller,1020,6300,Jake Gyllenhaal,Natalie Portman,Tobey Maguire,,
2013,Magic Magic,Sebastian Silva,5.2,Thriller,,1021,5820,Michael Cera,Juno Temple,Emily Browning,,
2010,Robin Hood,Ridley Scott,6.7,Action,Adventure,1022,8400,Russell Crowe,Cate Blanchett,Matthew Macfadyen,,
2009,The Princess and the Frog,Ron Clements,7.1,Animation,Family,1023,5820,Anika Noni Rose,Keith David,Oprah Winfrey,John Musker,
2010,The A-Team,Joe Carnahan,6.8,Action,Adventure,1024,7020,Liam Neeson,Bradley Cooper,Sharlto Copley,,
2006,Perfume: The Story of a Murderer,Tom Tykwer,7.5,Crime,Drama,1025,8820,Ben Whishaw,Dustin Hoffman,Alan Rickman,,
2012,Kon-Tiki,Joachim Ronning,7.2,Adventure,History,1026,7080,Pal Sverre Hagen,Anders Baasmo Christiansen,Gustaf Skarsgard,Espen Sandberg,
2006,Superman Returns,Bryan Singer,6.2,Action,Adventure,1027,9240,Brandon Routh,Kevin Spacey,Kate Bosworth,,
2006,Blood Diamond,Edward Zwick,8,Adventure,Drama,1028,8580,Leonardo DiCaprio,Djimon Hounsou,Jennifer Connelly,,
2002,The Time Machine,Simon Wells,5.8,Sci-Fi,Adventure,1029,5760,Guy Pearce,Yancey Arias,Mark Addy,,
2000,Dracula 2000,Patrick Lussier,4.7,Horror,Thriller,1031,5940,Gerard Butler,Justine Waddell,Jonny Lee Miller,,
1996,Scream,Wes Craven,7.2,Crime,Horror,1032,6660,Neve Campbell,Courteney Cox,David Arquette,,
2003,Daredevil,Mark Steven Johnson,5.3,Action,Crime,1033,6180,Ben Affleck,Jennifer Garner,Colin Farrell,,
2000,Scary Movie,Keenen Ivory Wayans,6.1,Comedy,,1034,5280,Anna Faris,Jon Abrahams,Marlon Wayans,,
1994,Angels in the Outfield,William Dear,5.7,Comedy,Family,1035,6120,Danny Glover,Brenda Fricker,Tony Danza,,
1987,Can't Buy Me Love,Steve Rash,6.4,Comedy,Drama,1038,5640,Patrick Dempsey,Amanda Peterson,Courtney Gains,,
2013,Grand Masti,Indra Kumar,4.4,Comedy,Drama,1039,8220,Ritesh Deshmukh,Vivek Oberoi,Aftab Shivdasani,,
2005,The Amityville Horror,Andrew Douglas,5.8,Drama,Horror,1041,5400,Ryan Reynolds,Melissa George,Jimmy Bennett,,
1954,Rear Window,Alfred Hitchcock,8.6,Mystery,Thriller,1042,6720,James Stewart,Grace Kelly,Wendell Corey,,
2001,Scary Movie 2,Keenen Ivory Wayans,5,Comedy,,1043,4980,Anna Faris,Marlon Wayans,Anthony Acker,,
2012,Promised Land,Gus Van Sant,6.5,Drama,,1044,6360,Matt Damon,Frances McDormand,John Krasinski,,
2010,The Twilight Saga: Eclipse,David Slade,4.8,Adventure,Drama,1045,7440,Kristen Stewart,Robert Pattinson,Taylor Lautner,,
1993,The Sandlot,David M. Evans,7.5,Comedy,Drama,1046,6060,Tom Guiry,Mike Vitar,Patrick Renna,,
2009,Coraline,Henry Selick,7.6,Animation,Fantasy,1047,6000,Dakota Fanning,Teri Hatcher,John Hodgman,,
2001,Not Another Teen Movie,Joel Gallen,5.5,Comedy,,1048,5340,Chyler Leigh,Jaime Pressly,Chris Evans,,
2007,August Rush,Kirsten Sheridan,7.4,Drama,Music,1050,6840,Freddie Highmore,Keri Russell,Jonathan Rhys Meyers,,
2012,The Woman in Black,James Watkins,6.4,Drama,Horror,1051,5700,Daniel Radcliffe,Janet McTeer,Ciaran Hinds,,
1992,Batman Returns,Tim Burton,6.9,Action,Fantasy,1052,7560,Michael Keaton,Danny DeVito,Michelle Pfeiffer,,
2011,Serbuan maut,Gareth Evans,7.5,Action,Crime,1053,6060,Iko Uwais,Ananda George,Ray Sahetapy,,
2002,Panic Room,David Fincher,6.8,Crime,Thriller,1054,6720,Jodie Foster,Kristen Stewart,Forest Whitaker,,
1996,The Rock,Michael Bay,7.3,Action,Adventure,1055,8160,Sean Connery,Nicolas Cage,Ed Harris,,
1984,Amadeus,Milos Forman,8.3,Biography,Drama,1056,9600,F. Murray Abraham,Tom Hulce,Elizabeth Berridge,,
1985,St. Elmo's Fire,Joel Schumacher,6.1,Drama,Romance,1057,6600,Demi Moore,Rob Lowe,Andrew McCarthy,,
2004,Dodgeball: A True Underdog Story,Rawson Marshall Thurber,6.6,Comedy,Sport,1058,5520,Ben Stiller,Christine Taylor,Vince Vaughn,,
2012,Celeste & Jesse Forever,Lee Toland Krieger,6.5,Comedy,Drama,1059,5520,Rashida Jones,Andy Samberg,Elijah Wood,,
2005,The Exorcism of Emily Rose,Scott Derrickson,6.6,Crime,Drama,1060,7140,Laura Linney,Tom Wilkinson,Shohreh Aghdashloo,,
2012,Underworld: Awakening,Mans Marlind,6.3,Action,Fantasy,1061,5280,Kate Beckinsale,Michael Ealy,India Eisley,Bjorn Stein,
2013,The Lifeguard,Liz W. Garcia,5.5,Drama,Romance,1062,5880,Kristen Bell,Mamie Gummer,Martin Starr,,
1975,Monty Python and the Holy Grail,Terry Gilliam,8.3,Adventure,Comedy,1063,5460,Graham Chapman,John Cleese,Eric Idle,Terry Jones,
2005,Match Point,Woody Allen,7.7,Crime,Drama,1064,7440,Scarlett Johansson,Jonathan Rhys Meyers,Emily Mortimer,,
2008,The Other Boleyn Girl,Justin Chadwick,6.6,Biography,Drama,1065,6900,Natalie Portman,Scarlett Johansson,Eric Bana,,
2002,Van Wilder,Walt Becker,6.2,Comedy,Romance,1066,5520,Ryan Reynolds,Tara Reid,Tim Matheson,,
1997,Mononoke-hime,Hayao Miyazaki,8.4,Animation,Action,1067,8040,Yoji Matsuda,Yuriko Ishida,Yuko Tanaka,,
2011,Cars 2,John Lasseter,6.3,Animation,Adventure,1068,6360,Owen Wilson,Larry the Cable Guy,Michael Caine,Brad Lewis,
2012,So Undercover,Tom Vaughan,4.5,Action,Comedy,1069,5640,Miley Cyrus,Jeremy Piven,Mike O'Malley,,
2003,2 Fast 2 Furious,John Singleton,5.4,Action,Crime,1070,6420,Paul Walker,Tyrese Gibson,Cole Hauser,,
2010,The Kids Are All Right,Lisa Cholodenko,7.1,Comedy,Drama,1071,6360,Annette Bening,Julianne Moore,Mark Ruffalo,,
2003,The Dreamers,Bernardo Bertolucci,7.1,Drama,Romance,1072,6900,Michael Pitt,Louis Garrel,Eva Green,,
2011,Jane Eyre,Cary Fukunaga,7.3,Drama,Romance,1073,7200,Mia Wasikowska,Michael Fassbender,Jamie Bell,,
2011,Apollo 18,Gonzalo Lopez-Gallego,5.2,Horror,Sci-Fi,1074,5160,Warren Christie,Lloyd Owen,Ryan Robbins,,
1999,Girl  Interrupted,James Mangold,7.2,Biography,Drama,1075,7620,Winona Ryder,Angelina Jolie,Clea DuVall,,
2011,Haywire,Steven Soderbergh,5.9,Action,Thriller,1076,5580,Gina Carano,Ewan McGregor,Michael Fassbender,,
1963,The Birds,Alfred Hitchcock,7.8,Horror,Thriller,1077,7140,Rod Taylor,Tippi Hedren,Suzanne Pleshette,,
1997,Austin Powers: International Man of Mystery,Jay Roach,7,Comedy,Crime,1078,5640,Mike Myers,Elizabeth Hurley,Michael York,,
2012,Playing for Keeps,Gabriele Muccino,5.5,Comedy,Romance,1079,6300,Gerard Butler,Jessica Biel,Dennis Quaid,,
1987,Empire of the Sun,Steven Spielberg,7.7,Drama,History,1080,9120,Christian Bale,John Malkovich,Miranda Richardson,,
2011,La piel que habito,Pedro Almodovar,7.6,Drama,Horror,1081,7200,Antonio Banderas,Elena Anaya,Jan Cornet,,
2011,Red Riding Hood,Catherine Hardwicke,5.2,Fantasy,Horror,1082,6000,Amanda Seyfried,Lukas Haas,Gary Oldman,,
2013,As I Lay Dying,James Franco,6,Drama,,1083,,James Franco,Danny McBride,Logan Marshall-Green,,
2012,Jewtopia,Bryan Fogel,4.1,Comedy,Romance,1084,5400,Jennifer Love Hewitt,Crystal Reed,Jamie-Lynn Sigler,,
2013,Short Term 12,Destin Cretton,7.9,Drama,,1085,5760,Brie Larson,Frantz Turner,John Gallagher Jr.,,
2012,ParaNorman,Chris Butler,6.9,Animation,Adventure,1086,5520,Kodi Smit-McPhee,Anna Kendrick,Christopher Mintz-Plasse,Sam Fell,
2013,The Zero Theorem,Terry Gilliam,6.4,Drama,Fantasy,1087,6420,Christoph Waltz,Melanie Thierry,David Thewlis,,
1989,Uncle Buck,John Hughes,6.8,Comedy,Drama,1088,6000,John Candy,Macaulay Culkin,Jean Louisa Kelly,,
2009,The Human Centipede (First Sequence),Tom Six,4.5,Horror,,1089,5520,Dieter Laser,Ashley C. Williams,Ashlynn Yennie,,
2007,30 Days of Night,David Slade,6.5,Horror,Thriller,1090,6780,Josh Hartnett,Melissa George,Danny Huston,,
2012,The Guilt Trip,Anne Fletcher,5.7,Comedy,,1091,5700,Barbra Streisand,Seth Rogen,Julene Renee-Preciado,,
2006,The Da Vinci Code,Ron Howard,6.4,Mystery,Thriller,1092,8940,Tom Hanks,Audrey Tautou,Jean Reno,,
2012,The Odd Life of Timothy Green,Peter Hedges,6.4,Comedy,Drama,1094,6300,Jennifer Garner,Joel Edgerton,CJ Adams,,
2000,Coyote Ugly,David McNally,5.4,Comedy,Drama,1095,6000,Piper Perabo,Adam Garcia,John Goodman,,
2011,The Muppets,James Bobin,7.2,Comedy,Family,1096,6540,Amy Adams,Jason Segel,Chris Cooper,,
2004,I  Robot,Alex Proyas,7,Action,Mystery,1097,6900,Will Smith,Bridget Moynahan,Bruce Greenwood,,
2004,Closer,Mike Nichols,7.3,Drama,Romance,1099,6240,Natalie Portman,Jude Law,Clive Owen,,
1954,Shichinin no samurai,Akira Kurosawa,8.8,Action,Drama,1100,12420,Toshiro Mifune,Takashi Shimura,Keiko Tsushima,,
1978,The Deer Hunter,Michael Cimino,8.2,Drama,War,1101,10920,Robert De Niro,Christopher Walken,John Cazale,,
2006,Talladega Nights: The Ballad of Ricky Bobby,Adam McKay,6.4,Action,Comedy,1102,6480,Will Ferrell,John C. Reilly,Sacha Baron Cohen,,
2011,Margin Call,J.C. Chandor,7.1,Drama,Thriller,1103,6420,Zachary Quinto,Stanley Tucci,Kevin Spacey,,
2003,Hulk,Ang Lee,5.7,Action,Sci-Fi,1104,8280,Eric Bana,Jennifer Connelly,Sam Elliott,,
2005,The Devil's Rejects,Rob Zombie,6.8,Horror,,1105,6420,Sid Haig,Sheri Moon Zombie,Bill Moseley,,
1994,Natural Born Killers,Oliver Stone,7.1,Crime,Drama,1106,7080,Woody Harrelson,Juliette Lewis,Tom Sizemore,,
2012,No One Lives,Ryuhei Kitamura,5.8,Horror,Thriller,1108,5160,Luke Evans,Gary Grubbs,Adelaide Clemens,,
